,timeStamp,sales,transactions
588,2014-08-13 00:00:00,4370.57,735
589,2014-08-14 00:00:00,4629.9,736
590,2014-08-15 00:00:00,5062.68,787
591,2014-08-16 00:00:00,3005.15,417
592,2014-08-17 00:00:00,2190.62,292
593,2014-08-18 00:00:00,3984.06,698
594,2014-08-19 00:00:00,4187.14,719
595,2014-08-20 00:00:00,4649.92,750
596,2014-08-21 00:00:00,4638.82,736
597,2014-08-22 00:00:00,5102.59,814
598,2014-08-23 00:00:00,2834.16,389
599,2014-08-24 00:00:00,1864.77,283
600,2014-08-25 00:00:00,4175.77,707
601,2014-08-26 00:00:00,4115.63,684
602,2014-08-27 00:00:00,4249.09,721
603,2014-08-28 00:00:00,4717.88,742
604,2014-08-29 00:00:00,4821.82,768
605,2014-08-30 00:00:00,2734.2,381
606,2014-08-31 00:00:00,1692.02,239
607,2014-09-01 00:00:00,2038.91,271
608,2014-09-02 00:00:00,4068.91,654
609,2014-09-03 00:00:00,4841.74,776
610,2014-09-04 00:00:00,4629.57,744
611,2014-09-05 00:00:00,5176.9,802
612,2014-09-06 00:00:00,3082.81,382
613,2014-09-07 00:00:00,1840.5,249
614,2014-09-08 00:00:00,4160.22,689
615,2014-09-09 00:00:00,4565.09,719
616,2014-09-10 00:00:00,4491.7,685
617,2014-09-11 00:00:00,4961.47,785
618,2014-09-12 00:00:00,5471.01,819
619,2014-09-13 00:00:00,3059.93,432
620,2014-09-14 00:00:00,1751.95,242
621,2014-09-15 00:00:00,4578.47,724
622,2014-09-16 00:00:00,4540.23,732
623,2014-09-17 00:00:00,4766.58,773
624,2014-09-18 00:00:00,4856.58,790
625,2014-09-19 00:00:00,5116.84,796
626,2014-09-20 00:00:00,2993.45,420
627,2014-09-21 00:00:00,1953.23,279
628,2014-09-22 00:00:00,4084.55,684
629,2014-09-23 00:00:00,4279.08,661
630,2014-09-24 00:00:00,4661.98,753
631,2014-09-25 00:00:00,4699.83,756
632,2014-09-26 00:00:00,4883.13,760
