aX,aY,aZ,gX,gY,gZ
0.088,-0.656,0.721,-46.997,-7.751,8.789
0.014,-0.585,0.770,-48.950,-22.156,12.695
-0.021,-0.574,0.857,-48.706,-27.161,25.330
0.041,-0.664,0.882,-47.791,-18.066,42.419
0.151,-0.770,0.883,-49.866,0.854,54.932
0.254,-0.878,0.923,-53.955,20.264,58.044
0.317,-0.945,1.012,-56.152,36.072,52.979
0.345,-0.977,1.089,-53.711,46.570,42.114
0.341,-0.991,1.151,-45.959,48.828,28.687
0.337,-1.001,1.168,-36.560,44.067,15.869
0.322,-0.979,1.156,-26.978,33.325,3.906
0.262,-0.924,1.126,-16.052,20.325,-6.287
0.211,-0.887,1.038,-3.967,6.775,-14.221
0.170,-0.849,0.922,3.479,-6.775,-19.775
0.128,-0.825,0.808,4.272,-22.095,-24.902
0.074,-0.799,0.721,0.183,-39.429,-27.100
0.013,-0.771,0.698,-6.226,-56.213,-26.611
-0.034,-0.739,0.693,-10.071,-63.782,-23.132
-0.050,-0.721,0.680,-8.484,-60.120,-17.334
-0.038,-0.716,0.646,-3.235,-48.645,-11.841
-0.022,-0.722,0.598,1.160,-33.752,-7.751
-0.013,-0.713,0.587,3.174,-20.081,-4.456
-0.011,-0.715,0.601,3.845,-8.423,-2.075
-0.004,-0.719,0.620,3.479,0.854,-0.366
0.000,-0.723,0.643,2.991,7.080,0.488
-0.007,-0.731,0.667,2.380,9.644,1.160
-0.010,-0.739,0.690,1.343,9.033,2.625
-0.004,-0.752,0.699,-0.610,7.080,3.723
-0.002,-0.783,0.675,-2.014,4.639,3.296
0.007,-0.810,0.664,-1.343,1.465,2.502
0.003,-0.794,0.683,-1.038,-2.319,1.709
0.001,-0.783,0.678,-2.747,-4.761,0.366
-0.005,-0.781,0.680,-3.113,-6.287,-0.122
-0.012,-0.766,0.684,-2.258,-6.714,0.610
-0.001,-0.754,0.677,0.000,-4.944,1.526
0.007,-0.748,0.671,2.502,-1.526,2.136
0.012,-0.750,0.672,2.991,0.427,2.686
0.028,-0.758,0.680,2.258,2.441,2.319
0.026,-0.765,0.681,1.343,3.296,1.343
0.018,-0.772,0.696,1.099,1.404,0.488
0.019,-0.785,0.694,1.282,0.488,-0.732
0.018,-0.792,0.696,1.282,-3.296,-0.916
0.023,-0.791,0.700,1.343,-6.531,-2.075
0.011,-0.777,0.702,1.587,-9.216,-3.235
-0.002,-0.758,0.698,3.235,-10.498,-3.784
0.000,-0.749,0.671,5.310,-9.949,-3.540
0.001,-0.751,0.645,6.042,-10.254,-2.808
0.003,-0.749,0.631,5.066,-11.169,-2.625
0.002,-0.759,0.624,3.418,-10.437,-3.113
0.000,-0.749,0.622,2.441,-8.972,-3.052
-0.004,-0.745,0.633,3.052,-6.104,-2.319
0.000,-0.736,0.638,5.066,-1.892,-0.916
0.004,-0.744,0.640,6.226,1.709,0.061
0.004,-0.755,0.651,6.042,4.211,0.671
0.002,-0.756,0.671,5.615,5.920,0.916
0.000,-0.764,0.679,5.310,6.470,-0.122
0.002,-0.781,0.669,5.432,5.310,-1.221
0.009,-0.780,0.668,5.920,2.319,-2.563
,,,,,
